horizon_years,samples,correlation,rmse,mae,bias,max_abs_error,candidate_std,reference_std,reference_spread_mean,reference_spread_max,candidate_rmse_to_spread_mean_ratio
50000,11,0.9999160230898546,8.34143255774124e-05,5.7710933431918526e-05,5.7710933431918526e-05,0.00016330028870229982,0.002065938372228154,0.002119714710065871,2.504602382818126e-08,8.157971561596305e-08,3330.4418357837844
100000,21,0.9999729511714972,0.00011503796327561616,9.727245913729062e-05,9.727245913729062e-05,0.00017413262965240012,0.00783879226226643,0.007817420693265123,4.745954216614224e-08,1.1500298909239941e-07,2423.9164143830394
250000,51,0.9998701977058724,0.00039269469585438336,0.00031603231698873555,0.00031603231698873555,0.0009077299353726018,0.01163402487611887,0.01149396021723486,1.2125652023142594e-07,3.155054476562402e-07,3238.544987971781
500000,101,0.9987307210997353,0.0006798657517927701,0.0005627647605926892,0.00020034860007481394,0.0014912591115791999,0.01236287313504302,0.0121618994245027,1.9367981271238833e-07,5.924791135557832e-07,3510.256140129383
1000000,201,0.9972765988620479,0.000945168140404808,0.0007469522934527572,-4.8543742850174046e-05,0.0026679148678000995,0.012796937671793233,0.012777046216914693,3.3073226386015746e-07,2.097620377952564e-06,2857.804465077682
2000000,401,0.9913367155917264,0.0017859721186035717,0.0013265316467068492,0.00017328590384863593,0.006298709823185499,0.013531696812880415,0.01344271914022137,7.745588076427155e-07,2.621029413703063e-06,2305.7927958226715
5000000,1001,0.9422729403676181,0.004407115486646279,0.0033058789881830718,0.00019122665085333066,0.0133244726616959,0.012928280459298206,0.012985727836415344,2.3014120517718358e-06,1.036853647760927e-05,1914.9615051564895
10000000,2001,0.8268499764781989,0.007724187403849303,0.005958524977653572,0.00016257911731180962,0.022262596338212003,0.013165288560250557,0.013079045748359266,3.7786938705503553e-06,1.784609437664122e-05,2044.1421476475148
20000000,4001,0.4950348636011605,0.01324246080089358,0.010273408157624982,0.00020875804848079937,0.042493566044615703,0.013238902345251227,0.013111299729535394,1.2759338256497176e-05,9.026522489135863e-05,1037.8642320380834
