comparison_type,left_job,right_job,horizon_years,samples,correlation,rmse,mae,bias,max_abs_error,candidate_std,reference_std
whfast_dt10_vs_dt5,baseline_20myr_dt10,baseline_2myr_dt5,2000000,2001,0.9999999980579074,8.426552319976023e-07,5.598240372387499e-07,-1.4910207572914688e-08,4.583462823101736e-06,0.013518391802870762,0.013518396536032342
whfast_dt5_vs_dt4p8828125,baseline_2myr_dt5,baseline_2myr_dt4p8828125,2000000,2001,0.9999999918112406,1.7300564406257339e-06,1.0528557885371407e-06,6.025450524738534e-10,9.60526484759805e-06,0.013518396536032342,0.013518384108461852
gr_potential_vs_no_gr,baseline_2myr_dt5,baseline_2myr_no_gr_dt5,2000000,2001,0.9032174300459972,0.005968591118432642,0.0043800961696003555,-0.00047884831557213264,0.0180362062337217,0.013518396536032342,0.013526521646314805
horizons_vs_approximate_elements,baseline_2myr_dt5,baseline_2myr_elements_dt5,2000000,2001,0.9876301000030542,0.002175301676516972,0.001803562976890824,0.0004883961134624988,0.005093235728236396,0.013518396536032342,0.013366802668830044
eight_planets_vs_pluto_five_asteroids,baseline_2myr_dt5,full_la2010_bodies_2myr_dt5,2000000,2001,0.9999999239810308,5.278755382504446e-06,3.885599195774745e-06,2.6396704195742295e-07,1.37541501717027e-05,0.013518396536032342,0.013518290167496274
whfast_vs_ias15,whfast_grpot_20kyr,ias15_grpot_20kyr,20000,201,0.9999999295590655,3.1309832571378374e-07,1.6138991244318849e-07,-4.455466783640295e-09,1.2893919597994907e-06,0.0008324106365291151,0.0008323907634038615
gr_potential_vs_gr_full,ias15_grpot_20kyr,ias15_grfull_20kyr,20000,201,0.9999998724729421,4.265986816640927e-07,2.847852904562403e-07,-6.202938072679994e-08,1.498489289299132e-06,0.0008323907634038615,0.0008324283180872823
