band,low_period_years,high_period_years,nominal_period_years,candidate_peak_period_years,candidate_relative_period_error,candidate_normalized_band_power,reference_peak_period_years,reference_relative_period_error,reference_normalized_band_power,candidate_to_reference_power_ratio
95 kyr,80000.0,110000.0,95000.0,95242.85714285714,0.0025563909774436308,0.3181570637639083,95242.85714285714,0.0025563909774436308,0.33101411319135954,0.961158606491142
125 kyr,110000.0,160000.0,125000.0,124229.81366459628,0.006161490683229756,0.21110934480131563,125006.24999999999,4.9999999999883586e-05,0.2056995895839401,1.0262993000050102
405 kyr,350000.0,460000.0,405000.0,408183.67346938775,0.007860922146636423,0.33266568923044804,408183.67346938775,0.007860922146636423,0.33032236222954464,1.00709406104112
2.4 Myr,1800000.0,3200000.0,2400000.0,2000099.9999999998,0.1666250000000001,0.023642151604460232,2222333.3333333335,0.0740277777777777,0.017340361352209514,1.3634174700429609
