frequency_per_year,period_years,power
9.995002498750624e-07,1000500.0000000001,8.084757111781284
1.4992503748125936e-06,667000.0,7.796986417080585
1.999000499750125e-06,500250.00000000006,7.969968933142563
2.4987506246876562e-06,400200.0,7.859568234060879
2.9985007496251872e-06,333500.0,7.791266739709768
3.498250874562718e-06,285857.1428571429,6.0223844592644165
3.99800099950025e-06,250125.00000000003,5.708253933870045
4.497751124437781e-06,222333.33333333334,1.5919452822883848
4.9975012493753125e-06,200100.0,0.3950085585480676
5.497251374312843e-06,181909.09090909094,0.34556473721913983
5.9970014992503744e-06,166750.0,1.4847903121234
6.496751624187906e-06,153923.07692307694,4.736257831174082
6.996501749125436e-06,142928.57142857145,5.09427672164938
7.496251874062968e-06,133400.0,5.222650955108952
7.9960019990005e-06,125062.50000000001,5.414770601702516
8.49575212393803e-06,117705.88235294119,7.304170340467117
8.995502248875562e-06,111166.66666666667,14.090752203990538
9.495252373813093e-06,105315.78947368421,13.989946384532027
9.995002498750625e-06,100050.0,10.540104521500739
1.0494752623688155e-05,95285.71428571429,9.748106558881329
1.0994502748625686e-05,90954.54545454547,9.287196490904618
1.1494252873563218e-05,87000.0,9.092388452191413
1.1994002998500749e-05,83375.0,8.65888466516326
1.249375312343828e-05,80040.00000000001,1.8090084727485063
1.2993503248375812e-05,76961.53846153847,0.27804833048575756
1.3493253373313342e-05,74111.11111111112,0.23684236270419043
1.3993003498250873e-05,71464.28571428572,0.19445923772416715
1.4492753623188405e-05,69000.0,0.21352117686814845
1.4992503748125936e-05,66700.0,0.11484719316469054
1.5492253873063468e-05,64548.3870967742,0.08666714504934318
1.5992003998001e-05,62531.25000000001,0.08127258683932524
1.649175412293853e-05,60636.36363636364,0.26051058054453347
1.699150424787606e-05,58852.941176470595,0.5116188673070272
1.7491254372813594e-05,57171.42857142857,0.5382461963093995
1.7991004497751124e-05,55583.333333333336,0.5122508683185653
1.8490754622688655e-05,54081.08108108109,0.5056169959352691
1.8990504747626185e-05,52657.89473684211,0.5257174676100816
1.9490254872563716e-05,51307.69230769231,0.5327715820750056
1.999000499750125e-05,50025.0,0.49847505523465285
2.048975512243878e-05,48804.87804878049,0.11665148654742256
2.098950524737631e-05,47642.857142857145,0.07248445006669442
2.148925537231384e-05,46534.88372093024,0.051400355517285244
2.1989005497251372e-05,45477.272727272735,0.06975022289488438
2.2488755622188903e-05,44466.66666666667,0.05633828766121963
2.2988505747126437e-05,43500.0,0.024410746394229816
2.3488255872063967e-05,42574.46808510638,0.02859995512535993
2.3988005997001498e-05,41687.5,0.027361683921012868
2.4487756121939028e-05,40836.73469387755,0.02322153185855919
2.498750624687656e-05,40020.00000000001,0.0345819902085893
2.5487256371814093e-05,39235.294117647056,0.02285915622554733
2.5987006496751623e-05,38480.769230769234,0.02432559132426371
2.6486756621689154e-05,37754.71698113208,0.02860565806204134
2.6986506746626685e-05,37055.55555555556,0.04013166306726733
2.7486256871564215e-05,36381.818181818184,0.05511043436535853
2.7986006996501746e-05,35732.14285714286,0.05544434668907638
2.848575712143928e-05,35105.26315789474,0.041160835910871586
2.898550724637681e-05,34500.0,0.04048874566758907
2.948525737131434e-05,33915.254237288136,0.03823070512156428
2.998500749625187e-05,33350.0,0.03844235173774696
