frequency_per_year,period_years,power,log10_prominence
2.449877506124694e-06,408183.67346938775,79.93388874766511,2.6984386414521673
1.0499475026248687e-05,95242.85714285714,44.26099931372628,2.9528154158812163
8.049597520123993e-06,124229.81366459628,30.47051402815926,2.180347801567563
1.0049497525123743e-05,99507.46268656717,24.014584563387725,0.35115555757865735
7.799610019499025e-06,128211.53846153847,16.91891206705794,0.16996509360815604
4.999750012499375e-07,2000099.9999999998,10.504391821281434,0.10333930127745217
9.99950002499875e-07,1000049.9999999999,6.4013399816342,0.9271762314917904
9.449527523623818e-06,105825.39682539683,3.8634953250940023,0.2617089892168316
1.4499275036248187e-06,689689.6551724138,3.5978595259495245,0.24993791581837083
2.1498925053747314e-06,465139.5348837209,2.1016126752945032,0.07658977493347638
1.8349082545872705e-05,54498.63760217984,1.6421802229159195,1.9068844113280206
1.294935253237338e-05,77223.93822393822,1.4456557425827063,0.9803368768847871
