LTEE population derived from,Evolved strain ID,Ancestor ID,Replicate,D0- Ancestor colonies,D0- REL607 colonies vs ancestor,D1- Ancestor colonies,D1- REL607 colonies vs ancestor,Generations- Ancestor,Generations-REL607 vs ancestor,Fitness ancestor (w),D0- Evolved colonies,D0- REL607 colonies vs evolved,D1-Evolved colonies,D1- REL607 colonies vs evolved,Generations- Evolved,Generations- REL607 vs evolved,Fitness evolved (w),Change in fitness
REL 606,CBTn288,REL606,1,140,177,185,177,7.045954633,6.64385619,1.060521846,142,199,179,87,6.977924848,5.450175065,1.280312057,0.21979021
A-1,CBTn290,REL11330,1,81,162,163,38,7.652734341,4.5519337,1.681205142,63,146,162,31,8.006426269,4.408227941,1.816245978,0.135040837
A-2,CBTn292,REL11333,1,11,162,47,51,8.739013423,4.976431529,1.75608031,25,156,94,32,8.554588852,4.358453971,1.962757645,0.206677335
A-4,CBTn294,REL11336,1,63,189,129,22,7.677803522,3.541045384,2.168230759,44,142,105,32,7.898670089,4.49410907,1.757560835,-0.410669924
A-5,CBTn296,REL11339,1,75,141,140,28,7.544320516,4.311659759,1.749748574,95,147,160,35,7.395928676,4.573466862,1.617138355,-0.132610219
A-6,CBTn298,REL11389,1,80,151,122,40,7.252665432,4.727379545,1.534183021,90,169,146,19,7.341827652,3.490904267,2.103130619,0.568947598
REL 606,CBTn300,REL606,1,150,136,148,155,6.624490865,6.832517754,0.969553407,89,169,168,70,7.560440182,5.37225977,1.407310984,0.437757577
A-1,CBTn302,REL11330,1,97,147,166,37,7.418982779,4.653637211,1.594233165,75,129,141,25,7.554588852,4.276485124,1.766541595,0.17230843
A-2,CBTn304,REL11333,1,6,146,46,49,9.582455645,5.068741475,1.890499978,12,151,60,42,8.965784285,4.797768873,1.86874035,-0.021759627
A-4,CBTn306,REL11336,1,51,163,100,16,7.615287038,3.295128036,2.3110747,67,197,107,11,7.319233986,2.481235989,2.94983388,0.63875918
A-5,CBTn308,REL11339,1,75,159,162,13,7.754887502,3.031412953,2.558175881,84,159,156,14,7.536940986,3.138328157,2.40157836,-0.156597522
A-6,CBTn310,REL11389,1,72,172,119,43,7.368748952,4.64385619,1.586773718,73,174,146,37,7.64385619,4.41036606,1.73315686,0.146383142
REL 606,CBTn288,REL606,2,121,178,110,123,6.506352666,6.110637264,1.064758451,87,122,143,73,7.360784031,5.902943411,1.246968422,0.182209971
A-1,CBTn290,REL11330,2,77,174,133,43,7.432352085,4.627177449,1.606238829,51,149,15,26,4.878321443,4.125127387,1.18258686,-0.423651969
A-2,CBTn292,REL11333,2,2,200,5,39,7.965784285,4.285402219,1.858818351,15,176,85,46,9.14635653,4.707986527,1.942732095,0.083913745
A-4,CBTn294,REL11336,2,55,131,128,31,7.862496476,4.564629499,1.722482948,76,185,89,9,6.871662107,2.282399731,3.010718068,1.28823512
A-5,CBTn296,REL11339,2,78,147,182,17,7.866248611,3.531646686,2.227360014,87,183,142,29,7.350659813,3.986137347,1.84405583,-0.383304184
A-6,CBTn298,REL11389,2,73,176,139,53,7.572972704,4.912345026,1.541620685,79,186,145,39,7.519984532,4.390099598,1.712941669,0.171320984
REL 606,CBTn300,REL606,2,142,156,172,143,6.920373825,6.518325308,1.061679726,117,151,168,108,7.165808893,6.160338953,1.163216659,0.101536933
A-1,CBTn302,REL11330,2,67,137,132,36,7.622161119,4.715749108,1.616320322,40,162,21,24,5.714245518,3.888968688,1.469347268,-0.146973054
A-2,CBTn304,REL11333,2,4,166,41,23,10.00140819,3.792378714,2.637238775,9,171,70,30,9.603214205,4.13289427,2.3236051,-0.313633675
A-4,CBTn306,REL11336,2,48,163,108,19,7.813781191,3.543055549,2.205379251,54,117,126,27,7.866248611,4.528378972,1.737100331,-0.46827892
A-5,CBTn308,REL11339,2,72,159,152,29,7.721858702,4.18895423,1.84338579,77,151,200,47,8.020925839,4.960040302,1.617109005,-0.226276785
A-6,CBTn310,REL11389,2,66,182,140,63,7.728745087,5.113341473,1.511486203,68,153,139,54,7.675334421,5.141355849,1.492861931,-0.018624272
REL 606,CBTn288,REL606,3,121,133,115,83,6.570483003,5.963613186,1.101762103,143,155,105,35,6.198230371,4.497014801,1.378298859,0.276536756
A-1,CBTn290,REL11330,3,79,136,179,32,7.823891219,4.556393349,1.717123747,43,185,31,9,6.171787745,2.282399731,2.704078371,0.986954624
A-2,CBTn292,REL11333,3,8,129,29,29,8.501837185,4.490609929,1.893247759,23,158,84,32,8.512611656,4.340075442,1.961397163,0.068149404
A-4,CBTn294,REL11336,3,69,187,122,15,7.466069071,3.003852325,2.485498041,50,147,81,18,7.339850003,3.614108846,2.030887921,-0.45461012
A-5,CBTn296,REL11339,3,70,146,135,17,7.59138877,3.541494472,2.143555166,90,188,188,24,7.706591945,3.674229839,2.097471384,-0.046083782
A-6,CBTn298,REL11389,3,78,154,156,53,7.64385619,5.104990104,1.497330266,70,166,126,26,7.491853096,3.969256477,1.887470145,0.390139879
REL 606,CBTn300,REL606,3,144,157,109,101,6.242115513,6.007446924,1.039062948,104,156,108,41,6.698303974,4.716005976,1.420334073,0.381271124
A-1,CBTn302,REL11330,3,87,118,113,9,7.021091656,2.931138142,2.395346557,62,151,93,14,7.22881869,3.212806373,2.250001355,-0.145345202
A-2,CBTn304,REL11333,3,5,147,19,23,8.569855608,3.967745801,2.159880204,4,47,41,34,10.00140819,6.176730179,1.619207559,-0.540672645
A-4,CBTn306,REL11336,3,57,152,120,16,7.717856771,3.395928676,2.272679289,41,125,125,10,8.25208847,3,2.750696157,0.478016867
A-5,CBTn308,REL11339,3,52,140,148,13,8.152869837,3.215012891,2.535874696,83,129,183,26,7.784516597,4.333068652,1.79653664,-0.739338056
A-6,CBTn310,REL11389,3,73,166,160,64,7.775959726,5.268816758,1.475845542,75,148,174,42,7.857980995,4.826720247,1.628016664,0.152171122
