obliquity_deg,eccentricity,temperature,ice,co2,regolith,memory,direction,mode
30.0,0.0,-3.3422279320945703,0.9916856352635282,378.2631498588221,0.8,0.4,forward,classic
30.0,0.01,-3.330343833904316,0.9886868870225056,377.85878766665155,0.8,0.4,forward,classic
30.0,0.02,-3.3098179557668685,0.9842450110428506,377.16140250631156,0.8,0.4,forward,classic
30.0,0.03,-3.2775583506237966,0.9774307336396073,376.067953601956,0.8,0.4,forward,classic
30.0,0.04,-3.2275226734404185,0.9664276038157965,374.37824768320957,0.8,0.4,forward,classic
30.0,0.05,-3.1457226738277737,0.9470280891734154,371.63219565704935,0.8,0.4,forward,classic
30.0,0.06,-2.984189777643972,0.9047958549624455,366.2685044524426,0.8,0.4,forward,classic
30.0,0.07,-0.05925728763225008,0.03181178588862412,281.4972726938214,0.8,0.4,forward,classic
30.0,0.08,0.009711131531028554,0.019806997367307743,279.75538639735953,0.8,0.4,forward,classic
30.0,0.09,0.06744068349264322,0.0123774848037796,278.3056420673415,0.8,0.4,forward,classic
30.0,0.1,0.12005801569092316,0.007687937142143742,276.99082468478014,0.8,0.4,forward,classic
30.0,0.11,0.17098261379645457,0.004719193212211677,275.7242212807323,0.8,0.4,forward,classic
30.0,0.12,0.22230907497002916,0.002852131398797782,274.4534831839834,0.8,0.4,forward,classic
30.0,0.13,0.2753888143946768,0.0016925753236648018,273.14549716810706,0.8,0.4,forward,classic
30.0,0.14,0.331119222503072,0.000984275714326982,271.7789013727794,0.8,0.4,forward,classic
30.0,0.15,0.390106360361054,0.0005599675682789953,270.3398931295035,0.8,0.4,forward,classic
30.0,0.16,0.4527652148036005,0.00031122893969273376,268.8196567692107,0.8,0.4,forward,classic
30.0,0.17,0.5193852839629712,0.00016878114482900603,267.21268854712696,0.8,0.4,forward,classic
30.0,0.18,0.5901748697996063,8.920356787871289e-05,265.515671388997,0.8,0.4,forward,classic
30.0,0.19,0.6652912846871769,4.589363862162033e-05,263.72671263031384,0.8,0.4,forward,classic
30.0,0.2,0.7448613388754838,2.2957641213519944e-05,261.8448316412955,0.8,0.4,forward,classic
30.0,0.0,-3.3422279320945703,0.9916856352635282,378.2631498588221,0.8,0.4,reverse,classic
30.0,0.01,-3.330343833904329,0.988686887022507,377.85878766664985,0.8,0.4,reverse,classic
30.0,0.02,-3.309817955766882,0.9842450110428519,377.16140250630986,0.8,0.4,reverse,classic
30.0,0.03,-3.2775583506238095,0.9774307336396086,376.06795360195434,0.8,0.4,reverse,classic
30.0,0.04,-3.227522673440433,0.9664276038157982,374.37824768320786,0.8,0.4,reverse,classic
30.0,0.05,-0.3107997699665545,0.09356708864256123,287.9427231674266,0.8,0.4,reverse,classic
30.0,0.06,-0.15250829207540562,0.052310691938642795,283.8697055053532,0.8,0.4,reverse,classic
30.0,0.07,-0.059257287632262914,0.03181178588862489,281.4972726938197,0.8,0.4,reverse,classic
30.0,0.08,0.009711131531016519,0.019806997367308194,279.7553863973577,0.8,0.4,reverse,classic
30.0,0.09,0.067440683492631,0.012377484803779894,278.3056420673396,0.8,0.4,reverse,classic
30.0,0.1,0.12005801569091133,0.007687937142143909,276.9908246847782,0.8,0.4,reverse,classic
