job,obliquity_rmse_vs_baseline_deg,obliquity_effect_to_ensemble_floor,insolation_rmse_vs_baseline_w_m2,insolation_effect_to_ensemble_floor
jupiter_mass_minus_5pct_2myr,0.7540833190927312,18153678.341576573,31.055978848020708,18278417.032561935
jupiter_mass_plus_5pct_2myr,0.6374941934001866,15346930.821296494,26.82615156571195,15788894.888690595
saturn_mass_minus_5pct_2myr,0.1840528734074859,4430858.7354808375,11.998537918703375,7061902.023192729
saturn_mass_plus_5pct_2myr,0.20097600989531533,4838263.552100145,12.341934593656996,7264012.787857853
jupiter_a_minus_0p5pct_2myr,0.30033482056501953,7230211.290010004,16.199248183731722,9534286.952127129
jupiter_a_plus_0p5pct_2myr,0.31747729070820246,7642896.3091320805,15.134486950465105,8907607.305125998
