time_years,elapsed_years,eccentricity,obliquity_deg,long_peri_moving_rad,insolation_65n_solstice_w_m2,spin_x,spin_y,spin_z
0,0,0.0167023622192342,23.43929111,1.7962567794433015,510.09793382088975,1.058446924192655e-06,0.3977784304652209,0.9174815094897036
-1000,1000,0.0171610606162157,23.568596724935478,1.4981245366396287,513.2239451751292,-0.09647548403457927,0.3859571131684611,0.9174582212694818
-2000,2000,0.0174968894250035,23.694532878808477,1.2003155474438059,514.6438099419818,-0.1876579785138175,0.3511334093017619,0.9173275379995026
-3000,3000,0.0178456335727804,23.813739126460273,0.903914949369764,514.4478100748521,-0.2681665819476805,0.2952629395269354,0.9170095315035779
-4000,4000,0.0182111406252,23.92328616532942,0.6119262567476379,512.7870799092245,-0.3332632359488198,0.22153013901351268,0.9164387666797903
-5000,5000,0.0184535626910457,24.020089403315804,0.31617601492699166,509.71461585917723,-0.3791222109316819,0.13415280669856897,0.915570518110522
-6000,6000,0.018748770608518,24.10114982477064,0.02534319919246292,505.82226369328896,-0.40304544228203537,0.038131125014641075,0.9143852518281319
-7000,7000,0.0189382169364903,24.164588946758776,6.019476090606464,501.47391841867864,-0.40361142879824946,-0.06104693298809394,0.9128916072109453
-8000,8000,0.0191809562487666,24.207847687288975,5.72818613395878,497.03084483183227,-0.38074868743434365,-0.15772288335339116,0.9111278335577929
-9000,9000,0.0193276320949509,24.22952628750529,5.439380422967474,493.06509673524306,-0.3357339091211072,-0.24639180550164164,0.9091610530857014
-10000,10000,0.0194273180246997,24.228594295019278,5.15440647942938,489.93714148642215,-0.27111496727219586,-0.32201616450610465,0.9070844857662231
-11000,11000,0.0196014701815898,24.20435577338418,4.864690147125855,487.72481530191624,-0.19056210288169692,-0.3803115731438416,0.9050133658008384
-12000,12000,0.0196173941846374,24.156673334174346,4.580702970064813,486.8463327258494,-0.09866004387267606,-0.41798964687028556,0.9030785407993568
-13000,13000,0.0196569669746925,24.08657976169596,4.293709159232597,487.14208055950104,-0.0006466927212546564,-0.4329468084557881,0.90141923811092
-14000,14000,0.0196883186119455,23.994604457015647,4.009962668511185,488.4992950307625,0.09788388485527505,-0.4243868552989325,0.9001747286694525
-15000,15000,0.019642365997195,23.88295671382901,3.7243241896221226,490.7956256990024,0.19129971881612604,-0.3928721591946723,0.8994753382447943
-16000,16000,0.0195745882381205,23.753819196984924,3.4385090521604837,493.64887107872397,0.27425561162418044,-0.3402987370350362,0.8994335045266025
-17000,17000,0.0194970461033589,23.61002367804126,3.155795374737537,496.6123536486439,0.34200349044827216,-0.2697948179069906,0.9001357501797895
-18000,18000,0.0193622670099474,23.454758064605997,2.8697341833104386,499.395822081595,0.390674238083827,-0.1855499202544341,0.9016345527935331
-19000,19000,0.0192388036937806,23.29257112609948,2.583453285872011,501.56798973994853,0.41751227453675965,-0.09257639730187878,0.9039430907273677
-20000,20000,0.0190162961474538,23.126588620415408,2.300743381350333,502.660150443827,0.4210485359958104,0.0035776348280630744,0.9070310528668916
-21000,21000,0.0188565393087288,22.962230096366227,2.0135027341622136,502.6701753001582,0.40120189916581317,0.09715418211083153,0.9108227604776465
-22000,22000,0.0186351168779263,22.803745421352144,1.728387939365118,501.2929500986802,0.3592972130041672,0.18253074481701229,0.915198360970989
-23000,23000,0.0183642172855622,22.655822289825,1.4431047253772369,498.5734020284065,0.29799901629776904,0.2545605607873519,0.9199975582452331
-24000,24000,0.0181208024156654,22.522826455373192,1.1579230921802108,494.7329112692671,0.2211624440234321,0.30889336534752404,0.9250254386760741
-25000,25000,0.0178977135497655,22.409598484023327,0.8740330057266166,490.0371926352859,0.13360468637700537,0.34224984323288155,0.9300617358999187
-26000,26000,0.017541625384457,22.31877840763933,0.5875866094282981,484.65960115792325,0.040816158002201286,0.3526324012806536,0.9348713445244642
-27000,27000,0.017317303552111,22.254375205068296,0.30867801440871256,479.32256557295847,-0.051377571620204156,0.3394594187292592,0.9392165076117457
-28000,28000,0.0170117840446727,22.218232948271616,0.02586038498042548,474.14106493132306,-0.1371792769343257,0.30360850652497945,0.9428699384037266
-29000,29000,0.0167005286737506,22.2116273937071,6.029136938902661,469.64015605827984,-0.21118147858578218,0.24736746612438273,0.9456276856170853
-30000,30000,0.016421636825055,22.235232678559157,5.754642254965914,466.162749340667,-0.26870905380464516,0.1742941161672126,0.9473209622260571
-31000,31000,0.0161070368505137,22.288494566559425,5.4809163960582765,463.89931282880593,-0.306112169037679,0.08899245789947414,0.9478268208929613
-32000,32000,0.0158462045511551,22.369373796122996,5.20716822608398,462.9490490001996,-0.3209941207755879,-0.003176087262252467,0.9470758612155681
-33000,33000,0.0155246840952823,22.47607785810747,4.943334092732483,463.5290357512062,-0.3123584295862664,-0.09643106397262564,0.9450572794108878
-34000,34000,0.0152563509761259,22.605167259412674,4.677752494448992,465.43977743224707,-0.28066316928029583,-0.18493598650554421,0.9418210373020776
-35000,35000,0.0150309069253069,22.752386683684012,4.417659125074782,468.5988080637479,-0.22778468635288,-0.26315905382979743,0.9374761058557844
