particle_size_um,particle_size_nm
0.64426,644.2600000000001
0.64328,643.28
0.64228,642.28
0.64228,642.28
0.64228,642.28
0.64228,642.28
0.6403,640.3
0.6403,640.3
0.63631,636.3100000000001
0.63631,636.3100000000001
0.63631,636.3100000000001
0.63431,634.3100000000001
0.63028,630.28
0.63028,630.28
0.62825,628.25
0.62623,626.2299999999999
0.62419,624.19
0.62419,624.19
0.62215,622.15
0.62215,622.15
0.6201,620.1
0.61804,618.0400000000001
0.61804,618.0400000000001
0.61804,618.0400000000001
0.61804,618.0400000000001
0.61598,615.98
0.61598,615.98
0.61287,612.87
0.61287,612.87
0.61079,610.7900000000001
0.61079,610.7900000000001
0.6087,608.7
0.6087,608.7
0.6066,606.6
0.6066,606.6
0.6066,606.6
0.60239,602.39
0.60239,602.39
0.60027,600.27
0.60027,600.27
0.60027,600.27
0.59815,598.15
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59601,596.01
0.59173,591.73
0.59173,591.73
0.59173,591.73
0.59065,590.65
0.58957,589.57
0.58957,589.57
0.58957,589.57
0.58957,589.57
0.58741,587.41
0.58741,587.41
0.58632,586.3199999999999
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58524,585.24
0.58306,583.0600000000001
0.58306,583.0600000000001
0.57977,579.77
0.57977,579.77
0.57977,579.77
0.57757,577.57
0.57757,577.57
0.57536,575.36
0.57536,575.36
0.57315,573.1500000000001
0.57315,573.1500000000001
0.57203,572.0300000000001
0.57092,570.92
0.56869,568.69
0.56869,568.69
0.56869,568.69
0.56869,568.69
0.56644,566.44
0.56644,566.44
0.56644,566.44
0.56419,564.1899999999999
0.56419,564.1899999999999
0.56193,561.9300000000001
0.56193,561.9300000000001
0.56193,561.9300000000001
0.55966,559.6600000000001
0.55852,558.52
0.55852,558.52
0.55738,557.38
0.55738,557.38
0.55738,557.38
0.55509,555.0899999999999
0.55509,555.0899999999999
0.55509,555.0899999999999
0.55509,555.0899999999999
0.55279,552.79
0.55164,551.64
0.55164,551.64
0.55048,550.48
0.55048,550.48
0.55048,550.48
0.55048,550.48
0.54816,548.16
0.54816,548.16
0.54816,548.16
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54467,544.67
0.54233,542.3299999999999
0.54115,541.15
0.53997,539.9699999999999
0.53997,539.9699999999999
0.53997,539.9699999999999
0.53997,539.9699999999999
0.53879,538.79
0.53761,537.61
0.53524,535.24
0.53524,535.24
0.53524,535.24
0.53524,535.24
0.53524,535.24
0.53285,532.85
0.53285,532.85
0.53285,532.85
0.53285,532.85
0.53285,532.85
0.53166,531.66
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.53046,530.46
0.52805,528.0500000000001
0.52805,528.0500000000001
0.52805,528.0500000000001
0.52564,525.64
0.52564,525.64
0.52564,525.64
0.52321,523.2099999999999
0.52321,523.2099999999999
0.52321,523.2099999999999
0.52321,523.2099999999999
0.52199,521.99
0.52077,520.77
0.52077,520.77
0.51832,518.32
0.51832,518.32
0.51832,518.32
0.51832,518.32
0.51586,515.86
0.51586,515.86
0.51586,515.86
0.51586,515.86
0.51338,513.38
0.51338,513.38
0.51338,513.38
0.51338,513.38
0.51338,513.38
0.51338,513.38
0.51338,513.38
0.51338,513.38
0.51214,512.14
0.5109,510.90000000000003
0.5109,510.90000000000003
0.5109,510.90000000000003
0.5109,510.90000000000003
0.5109,510.90000000000003
0.5109,510.90000000000003
0.50965,509.65000000000003
0.50714,507.14000000000004
0.50714,507.14000000000004
0.50714,507.14000000000004
0.50589,505.88999999999993
0.50463,504.63
0.50463,504.63
0.50463,504.63
0.5021,502.09999999999997
0.5021,502.09999999999997
0.49955,499.55
0.49955,499.55
0.49955,499.55
0.49955,499.55
0.49955,499.55
0.49955,499.55
0.49955,499.55
0.49955,499.55
0.49828,498.28
0.497,497.0
0.497,497.0
0.497,497.0
0.497,497.0
0.497,497.0
0.49443,494.43
0.49443,494.43
0.49443,494.43
0.49443,494.43
0.49314,493.14000000000004
0.49185,491.85
0.49185,491.85
0.48925,489.25
0.48925,489.25
0.48925,489.25
0.48925,489.25
0.48925,489.25
0.48925,489.25
0.48925,489.25
0.48925,489.25
0.48664,486.64000000000004
0.48664,486.64000000000004
0.48664,486.64000000000004
0.48664,486.64000000000004
0.48664,486.64000000000004
0.48664,486.64000000000004
0.48533,485.33
0.48402,484.02
0.48402,484.02
0.48402,484.02
0.48402,484.02
0.48402,484.02
0.48402,484.02
0.48138,481.38
0.48138,481.38
0.48138,481.38
0.48138,481.38
0.48138,481.38
0.48138,481.38
0.48138,481.38
0.47873,478.72999999999996
0.47873,478.72999999999996
0.47873,478.72999999999996
0.47873,478.72999999999996
0.47606,476.06
0.47606,476.06
0.47606,476.06
0.47606,476.06
0.47338,473.38
0.47338,473.38
0.47338,473.38
0.47338,473.38
0.47068,470.68
0.47068,470.68
0.47068,470.68
0.47068,470.68
0.47068,470.68
0.47068,470.68
0.46933,469.33000000000004
0.46797,467.96999999999997
0.46661,466.61
0.46661,466.61
0.46661,466.61
0.46661,466.61
0.46661,466.61
0.46524,465.24
0.46387,463.87
0.46387,463.87
0.46387,463.87
0.46387,463.87
0.46112,461.11999999999995
0.46112,461.11999999999995
0.45835,458.34999999999997
0.45835,458.34999999999997
0.45835,458.34999999999997
0.45835,458.34999999999997
0.45835,458.34999999999997
0.45556,455.56
0.45556,455.56
0.45556,455.56
0.45556,455.56
0.45556,455.56
0.45416,454.16
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.45276,452.76
0.44994,449.94
0.44994,449.94
0.44994,449.94
0.44994,449.94
0.44994,449.94
0.44994,449.94
0.44994,449.94
0.44994,449.94
0.4471,447.1
0.4471,447.1
0.44424,444.24
0.44424,444.24
0.44424,444.24
0.44424,444.24
0.44424,444.24
0.44137,441.37
0.44137,441.37
0.44137,441.37
0.43992,439.91999999999996
0.43847,438.47
0.43847,438.47
0.43847,438.47
0.43847,438.47
0.43847,438.47
0.43847,438.47
0.43847,438.47
0.43847,438.47
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.43556,435.56
0.4341,434.09999999999997
0.43263,432.63
0.43263,432.63
0.43263,432.63
0.43263,432.63
0.43263,432.63
0.43263,432.63
0.42967,429.67
0.42967,429.67
0.42967,429.67
0.42967,429.67
0.42967,429.67
0.42967,429.67
0.42967,429.67
0.42819,428.19
0.4267,426.70000000000005
0.4267,426.70000000000005
0.4267,426.70000000000005
0.4267,426.70000000000005
0.42521,425.21
0.42521,425.21
0.4222,422.20000000000005
0.4222,422.20000000000005
0.4222,422.20000000000005
0.4222,422.20000000000005
0.4222,422.20000000000005
0.4222,422.20000000000005
0.4222,422.20000000000005
0.4222,422.20000000000005
0.42069,420.69
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41917,419.16999999999996
0.41613,416.13
0.41613,416.13
0.41613,416.13
0.41613,416.13
0.41613,416.13
0.41613,416.13
0.41613,416.13
0.41459,414.59000000000003
0.41305,413.04999999999995
0.41305,413.04999999999995
0.41305,413.04999999999995
0.41305,413.04999999999995
0.41305,413.04999999999995
0.41305,413.04999999999995
