body,position_absolute_error_au,velocity_absolute_error_au_per_year,position_relative_error,velocity_relative_error,combined_relative_state_error
Mercury,7.5778360988320773e-07,1.6760252934294642e-05,1.6245015008753575e-06,2.0433870625497533e-06,2.6104474355447187e-06
Venus,3.8479301416654443e-06,3.9470231914044568e-05,5.3427674141948765e-06,5.3197974760167222e-06,7.5395894336506474e-06
Earth,3.5543317802467305e-07,2.270610964583639e-06,3.6146605484483871e-07,3.5540382425008697e-07,5.0692167747757511e-07
Mars,4.3750056626041656e-07,1.6066233605405297e-06,3.1447538309148372e-07,2.8929117685022928e-07,4.2729866788222738e-07
Jupiter,3.465398301397977e-07,1.9225566727245141e-07,6.9791186273662282e-08,6.6639398717238442e-08,9.6496731254898509e-08
Saturn,3.6332425537572766e-08,7.4761942756904962e-09,3.9561224660752313e-09,3.5327939776615398e-09,5.3039172556881778e-09
Uranus,5.332668199886748e-08,3.8803400204607367e-09,2.6765014234266483e-09,2.8078001119592104e-09,3.8790980057641016e-09
Neptune,1.183106074587951e-07,4.571672707042769e-09,3.9278994180169598e-09,3.9943504948543486e-09,5.6020736976410039e-09
